Target,Event,Mode,TSM,ESM,pl_orbper,pl_rade,pl_Teq
TOI836c,Transit,NIRSPEC.BOTS+G395H,97.5106969981815,8.30000919890149,8.59545,2.587,631.994455061248
TOI836c,Transit,NIRSPEC.BOTS+G395H,97.5106969981815,8.30000919890149,8.59545,2.587,631.994455061248
TOI849b,PhaseC,NIRSPEC.BOTS+PRISM,21.282552431938,12.6133360083528,0.76552414,3.444,1975.44816810385
TOI849b,PhaseC,NIRSPEC.BOTS+PRISM,21.282552431938,12.6133360083528,0.76552414,3.444,1975.44816810385
TOI849b,PhaseC,NIRSPEC.BOTS+PRISM,21.282552431938,12.6133360083528,0.76552414,3.444,1975.44816810385
TRAPPIST1b,Eclipse,MIRI.F1500W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1500W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1500W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1500W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1500W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1280W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1280W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1280W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1280W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1280W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Eclipse,MIRI.F1280W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Transit,NIRISS.SOSS,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,Transit,NIRISS.SOSS,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,PhaseC,MIRI.F1500W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1b,PhaseC,MIRI.F1500W,28.3892408970721,3.77927230981307,1.510826,1.116,396.786438338096
TRAPPIST1c,Eclipse,MIRI.F1500W,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Eclipse,MIRI.F1500W,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Eclipse,MIRI.F1500W,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Eclipse,MIRI.F1500W,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Transit,NIRSPEC.BOTS+PRISM,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Transit,NIRSPEC.BOTS+PRISM,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Transit,NIRSPEC.BOTS+PRISM,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Transit,NIRSPEC.BOTS+PRISM,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Transit,NIRISS.SOSS,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1c,Transit,NIRISS.SOSS,24.1961412948977,1.71382504081203,2.421937,1.097,338.955639732954
TRAPPIST1d,Transit,NIRSPEC.BOTS+PRISM,25.4515113401596,0.335154254967589,4.049219,0.788,285.348464974926
TRAPPIST1d,Transit,NIRSPEC.BOTS+PRISM,25.4515113401596,0.335154254967589,4.049219,0.788,285.348464974926
